season,rmse,mae,r2
Winter,5.0232937096023695,3.953206957110257,-0.14897767450910981
Spring,5.0226131822032105,3.8960838814172614,-1.2428357713620883
Summer,5.245744836654565,3.657535032137911,-0.8968151979767123
Monsoon,3.0762528540822736,2.2474045476549187,0.19756636944922623
